record_id,item,category,e_waste,hazard_level,recyclable,disposal_method,campus_location,instruction,expected_lifespan_years,replacement_period_years,life_status,reuse_possible,reuse_method
1,Laptop,IT Equipment,Yes,Moderate,Yes,E-waste collection,Parking Area,Do not dismantle,4-6 years,4-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
2,Power Bank,Battery,Yes,High,Yes,Battery collection,Hostel A,Do not puncture,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
3,Webcam,Peripheral,Yes,Low,Yes,E-waste collection,Admin Block,Keep separate,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
4,Webcam,Peripheral,Yes,Low,Yes,E-waste collection,Student Centre,Keep separate,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
5,Paper,Paper,No,Low,Yes,Paper recycling,Cafeteria,Keep dry,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse or send for paper recycling
6,Laptop,IT Equipment,Yes,Moderate,Yes,E-waste collection,Student Centre,Do not dismantle,4-6 years,4-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
7,Printer,IT Equipment,Yes,Moderate,Unknown,E-waste collection,CSE Lab,Remove cartridges,3-5 years,3-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
8,Plastic Bottle,Plastic,No,Low,Yes,Plastic recycling,Parking Area,Rinse if required,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse where appropriate or send for plastic recycling
9,Plastic Bottle,Plastic,No,Low,Yes,Plastic recycling,Hostel B,Rinse if required,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse where appropriate or send for plastic recycling
10,Remote Control,Small Electronics,Yes,Low,Yes,E-waste collection,Library,Keep separate,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
11,Tablet,IT Equipment,Yes,Moderate,Yes,E-waste collection,Science Block,Remove personal data,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
12,Electric Cable,Small Electronics,Yes,Low,Yes,E-waste collection,Engineering Block,Keep separate,2-5 years,2-5 years,Medium Life,Yes,Reuse or donate if working
13,Remote Control,Small Electronics,Yes,Low,Yes,E-waste collection,Cafeteria,Remove batteries,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
14,Aluminium Can,Metal,No,Low,Yes,Metal recycling,Cafeteria,Rinse if required,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
15,Food Wrapper,General Waste,No,Low,No,General waste,Unknown,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
16,Food Wrapper,General Waste,No,Low,No,General waste,Hostel B,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
17,Router,Networking,Yes,Low,Yes,E-waste collection,Parking Area,Reset before disposal,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
18,Food Wrapper,General Waste,No,Low,No,General waste,Science Block,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
19,Food Wrapper,General Waste,No,Low,No,General waste,Science Block,Do not mix with e-waste,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
20,Electric Cable,Small Electronics,Yes,Low,Yes,E-waste collection,Cafeteria,Keep separate,2-5 years,2-5 years,Medium Life,Yes,Reuse or donate if working
21,Hard Drive,IT Equipment,Yes,Moderate,Yes,E-waste collection,Parking Area,Erase personal data,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
22,Printer,IT Equipment,Yes,Moderate,Yes,E-waste collection,Hostel A,Remove cartridges,3-5 years,3-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
23,Battery,Battery,Yes,High,Yes,Battery collection,Science Block,Do not puncture,2-4 years,2-4 years,Medium Life,No,Recycle through authorized battery/e-waste collection
24,Plastic Bottle,Plastic,No,Low,Yes,Plastic recycling,Main Block,Rinse if required,Not Applicable,Not Applicable,Not Applicable,Yes,Reuse where appropriate or send for plastic recycling
25,Mobile,IT Equipment,Yes,Moderate,Yes,E-waste collection,Library,Remove personal data,3-5 years,3-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
26,Laptop,IT Equipment,Yes,Moderate,Yes,E-waste collection,Science Block,Do not dismantle,4-6 years,4-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
27,USB Drive,Small Electronics,Yes,Low,Yes,E-waste collection,Library,Remove personal data,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
28,Laptop,IT Equipment,Yes,Moderate,Yes,E-waste collection,Main Block,Do not dismantle,4-6 years,4-5 years,Long Life,Yes,"Reuse, donate or refurbish if working"
29,Hard Drive,IT Equipment,Yes,Moderate,Yes,E-waste collection,Unknown,Erase personal data,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
30,Battery,Battery,Yes,High,Yes,Battery collection,Engineering Block,Do not puncture,2-4 years,2-4 years,Medium Life,No,Recycle through authorized battery/e-waste collection
31,Cardboard,Paper,No,Low,Yes,Paper recycling,Computer Lab,Keep dry,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
32,Router,Networking,Yes,Low,Yes,E-waste collection,Unknown,Reset before disposal,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
33,Cardboard,Paper,No,Low,Yes,Paper recycling,Main Block,Keep dry,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
34,Power Bank,Battery,Yes,High,Yes,Battery collection,Parking Area,Do not puncture,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
35,Mouse,Peripheral,Yes,Low,Yes,E-waste collection,Admin Block,Keep separate,3-5 years,3-5 years,Long Life,Yes,Reuse or donate if working
36,Headphones,Small Electronics,Yes,Low,Yes,E-waste collection,Computer Lab,Keep separate,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
37,Monitor,IT Equipment,Yes,Moderate,Yes,E-waste collection,Engineering Block,Do not break screen,Varies,Varies,Varies,Depends,Assess condition before reuse or recycling
38,Earphones,Small Electronics,Yes,Low,Yes,E-waste collection,Hostel B,Keep wires intact,1-3 years,1-3 years,Medium Life,Yes,Reuse or donate if working
